asdlfk		   laskdjf
resurfaces     resurge
regarding      con_repecto_a
whether        si
itself         si_mismo
murdering      asesinar
dump           arrojar,_desacerse
road           camino
members        miembros
appear         aparecer
vowing         prometiendo
destroy        destruir
Even           (adverbio)_incluso,_aun,_hasta,_con
though         aunque
emphatic       Enfatico
denial         negacion
since          desde
uprising       levantamiento,_sublevacion,_insurreccion
together       juntos
until          hasta
both           ambos
agreed         acordado,_convenido
successful     exitoso
lot            mucho
something      algo
someone        alguien
unemployed     desempleados
wonders        maravillas
behaved        comportaron
being          ser
maternity      maternidad
ward           sala
delivery       parto,_entrega,_reparto,_rescate
due            debido
less           menos
once           una_vez
supplies       suministros
securing       asegurar
development    desarrollo
issues         problemas
during         durante
few            pocos
tire           cansar
truths			verdades
likewise		asimismo
fulfill		realizar
strenght 		fuerza
endurance		resistencia
swing			ritmo_balancearse
assertiveness	asertividad
comprehension	comprension
maintain		mantener
although		a_pesar_de
toward			hacia
therefore		por_lo_tanto
entrusted		confiado
achieve		lograr
behalf			beneficio
dexterity		destreza
Riddles		acertijos
reliable		confiable
avoid			evitar
fog			niebla
foggy			neblinoso
showery_day	dia_lluvioso
humid_day		dia_humedo
icy_day		dia_helado
breeze			briza
gale			vendaval
hurricane		huracan
gentle			amable
accomodation	alojamiento
high_season	temporada_alta
inn			posada
the_bellboy	el_botones
tip_the_bellboy propipa_para_el_botones
luggage_trolley carrito_de_equipajes
looks_like		parece
feel_like		tener_ganas_de
look_after		cuidar
bloom			floraci�n
journey		viaje
to_go_abroad	irse_al_extranjero
return			devolver
to_go_sightseeing visitar_lugares_de_interes
voyage			viaje_en_barco
insurance		seguro
smooth			lista
lying			tenderse,_acostarse,_mentir
sunburn		quemadura_de_sol
thimesharing	tiempo_compartido
sunbathe		tomar_el_sol
back_then		en_aquel_entonces_/_momento
among			entre
tan 			broncearse
arise			surgir
raise			aumentar,_reune
perhaps		tal_vez
deserve		merecer
contest		concurso
earn			ganar
choir			coro
handicrafts		artesanias
ripe			madura
assessment		evaluacion
statement		declaracion
regard			respecto
regarding		acerca_de
feasible 		factible
reap			recoger
twilight		crepusculo
owe 			deber
regret			arrepentirse
thoroughly		minuciosamente
